# content: woodwell rts polygon coordinates
# date: Nov 2021
# region: yamal and gydan
# description:'yes' category only, active regions only
# Version=1.0
Long,Lat
77.8019265,70.09422505
78.03095869,70.20206371
68.39948459,69.6440199
68.401191,69.64301194
68.39193877,69.64768431
68.24355866,69.66618913
68.05641827,69.60924797
67.97942602,69.67783786
67.97014909,69.70588993
76.56131852,69.85419712
76.55680257,69.8563358
76.41445787,69.86666756
78.04874145,70.25868126
77.95139523,70.24831599
77.95168968,70.24864889
77.95251113,70.24877322
77.95293236,70.2490534
77.86932152,70.24559543
68.68035176,69.71394493
68.59296039,69.74570225
68.60430244,69.74913338
68.37780881,69.7093721
68.77318639,70.16012931
68.75329767,70.15786286
68.63967458,70.15698325
68.63530658,70.15131924
68.65722532,70.09682028
68.65595457,70.09664848
68.65569065,70.09645032
68.95652107,70.083068
68.73824814,69.96267292
68.76885782,69.91002922
68.69907561,70.16416897
