Long,Lat,tier
68.44670342,69.62715727,1
68.5669044,70.08980787,2
68.53180203,69.85533503,1
76.59254612,69.86726972,1
77.75063365,70.20261368,1
68.52349302,70.12901097,1
68.3715575,70.06868892,2
68.42097359,70.03669976,1
68.62646554,70.01102861,3
68.28553067,70.00733738,2
68.28573202,70.00702801,2
68.38730061,69.94289855,3
68.33434957,69.94128623,2
68.47830623,69.91249957,2
68.43723425,69.91010082,2
77.88887307,70.20889021,3
78.29162357,70.04252376,3
70.45421231,71.09141621,2
70.44760883,71.09348359,2
69.17867619,70.28056295,2
69.01216625,70.23086006,2
69.01112975,70.23175718,2
68.99048338,70.22744306,1
68.44895208,69.62675994,1
78.19661159,70.29488334,2
68.33463818,69.95437483,1
68.41406066,69.63376758,1
68.50718782,69.84669873,1
68.52180083,70.13383141,2
68.56246933,70.08920697,2
79.07751535,71.40556548,2
79.09407734,71.41618376,2
77.90449327,70.14489141,3
77.86588961,70.18567768,2
77.82594362,70.15846542,3
77.81978164,70.15867921,3
77.95952017,70.23589793,2
78.18176726,70.30785119,1
77.8411113,70.21924126,3
77.84302616,70.2190696,3
76.34998123,69.73553111,2
76.29350072,69.86817258,2
70.25491725,69.22439311,2
70.24606187,69.22094302,3
78.39016606,70.29244161,2
79.23049885,71.43784156,3
77.95118487,70.24902292,2
68.53162277,69.85511796,2
68.4204458,70.03619109,1
68.47956679,69.9126616,3
68.47875377,69.91263013,3
68.43750478,69.91033884,2
69.01698483,70.23277412,2
69.01284906,70.23088199,2
68.99019628,70.22717002,2
68.49217957,69.63339859,3
68.36476915,69.9723293,1
80.9813265,71.24852719,2
79.24861555,71.18781187,1
79.24662211,71.18818213,1
81.22049263,71.16996021,2
81.22147455,71.17043493,2
68.36895216,70.06947799,1
80.54525413,71.33180917,1
80.54564201,71.33158685,1
68.7695809,69.72160226,3
68.41769595,69.64720777,3
68.519343,70.13380573,3
68.55812698,70.0940547,3
75.08951403,71.07331273,2
76.11626492,69.77325819,2
68.63977312,70.1569154,3
68.65593707,70.0968263,1
77.75043855,70.2026093,1
79.24725293,71.1877019,1
79.25139894,71.18709934,1
79.23992522,71.19025328,3
79.24260465,71.18937805,3
79.24278851,71.18954551,3
77.77364797,70.10731582,1
77.30273655,70.20486466,3
77.79760098,70.1391352,3
70.23292704,69.22478357,2
79.19583035,71.43143929,1
77.97768383,70.18516319,1
80.88403882,71.2313215,2
80.88729518,71.2275888,2
80.89093646,71.228345,3
81.21189826,71.16992917,2
68.39403664,69.63945293,2
78.05759866,70.51559504,3
77.87483919,70.2455806,2
77.86768569,70.24449642,2
68.41624331,69.64866505,3
68.39010124,69.63972405,2
68.50975086,69.8466268,2
68.5226689,70.12877332,1
68.56415103,70.08924264,3
79.25393849,71.18668195,2
79.06959208,71.40713231,2
79.07088926,71.40776669,3
79.10443774,71.41901859,1
79.10276874,71.41853838,2
77.9066983,70.14224157,3
77.9059278,70.14266683,3
77.90509434,70.14428364,3
77.93617328,70.28143542,1
78.01095663,70.28400326,2
78.01067737,70.28435695,2
77.84677275,70.21887024,3
77.84407031,70.2188187,3
77.84369172,70.2191678,3
77.85652953,70.24431871,2
77.91260735,70.25083865,3
78.03697801,70.27404588,2
76.34723357,69.73501331,3
76.31319036,69.77832206,3
76.30372399,69.85519431,3
70.23656887,69.22395783,1
75.05466852,70.97650751,3
78.37338733,70.32356324,2
79.36008032,71.34910012,2
68.40162197,69.64285381,3
76.56192452,69.85472483,3
77.98319064,70.27810311,3
77.98198103,70.27763205,3
70.44837585,71.09402617,3
70.44636294,71.09342663,3
69.01115832,70.23249727,3
68.5206917,70.13354914,3
69.01484567,70.22995524,3
69.01276698,70.23014453,3
81.22060167,71.1690397,2
80.54161788,71.33323051,3
77.92053058,70.17333055,1
77.98316913,70.25655301,3
81.21623838,71.16140084,3
81.21784832,71.16115716,3
77.89057999,70.1986088,3
70.2554027,69.22441263,3
80.54957951,71.33415031,1
