# content: woodwell rts polygon coordinates
# date: Feb 2022
# region: yamal and gydan
# description:'yes' category only, active regions only
# Number of labels: 262
# Version=3.0
Long,Lat
77.98975917,70.27645267
77.88887307,70.20889021
78.29162357,70.04252376
69.17867619,70.28056295
69.01107639,70.23176299
68.52191935,70.13379797
68.56246933,70.08920697
77.90453157,70.14488461
77.84294212,70.21901993
68.53162277,69.85511796
68.47757385,70.06669008
68.41438025,70.00568718
68.47956679,69.9126616
68.43740067,69.91037097
69.01698483,70.23277412
69.01312039,70.23096384
68.99019628,70.22717002
68.36476915,69.9723293
80.9813265,71.24852719
79.24860559,71.187722
79.24635713,71.1880508
81.22138772,71.1703989
68.36892428,70.06951697
68.45528963,70.08223304
68.45519943,70.08153294
80.54564201,71.33158685
80.50219802,71.3587826
68.7695809,69.72160226
68.519343,70.13380573
68.55812698,70.0940547
77.79934168,70.11349794
77.98324676,70.2564675
68.63977312,70.1569154
