# content: woodwell rts polygon coordinates,,,,,
# date: Mar 2022,,,,,
# region: yamal and gydan,,,,,
# description: 262active + 73general,,,,,
# Added tier/question/index column. Tier is for data quality classification. 1-best, 3-worst
# Number of labels: 335,,,,,
# Version=4.0,,,,,
Long,Lat,type,tier,question,index
68.28553067,70.00733738,Active,2,,222
68.28603931,70.00699251,Active,2,,223
68.38730061,69.94289855,Active,2,,224
68.33434957,69.94128623,Active,2,,225
68.47830623,69.91249957,Active,2,,226
77.88545862,70.31274506,Active,2,,227
77.98975917,70.27645267,Active,2,,228
77.88887307,70.20889021,Active,3,,229
78.29162357,70.04252376,Active,3,,230
69.17867619,70.28056295,Active,2,,231
69.01107639,70.23176299,Active,2,,232
68.52191935,70.13379797,Active,2,,233
68.56246933,70.08920697,Active,1,,234
77.90453157,70.14488461,Active,2,,235
77.84294212,70.21901993,Active,3,,236
68.53162277,69.85511796,Active,2,,237
68.47757385,70.06669008,Active,3,,238
68.41438025,70.00568718,Active,2,,239
68.47956679,69.9126616,Active,3,,240
68.43740067,69.91037097,Active,2,,241
69.01698483,70.23277412,Active,2,,242
69.01312039,70.23096384,Active,2,,243
68.99019628,70.22717002,Active,1,,244
68.36476915,69.9723293,Active,1,,245
80.9813265,71.24852719,Active,2,,246
79.24860559,71.187722,Active,2,,247
79.24635713,71.1880508,Active,2,,248
81.22138772,71.1703989,Active,2,,249
68.36892428,70.06951697,Active,2,,250
68.45528963,70.08223304,Active,2,,251
68.45519943,70.08153294,Active,2,,252
80.54564201,71.33158685,Active,2,,253
80.50219802,71.3587826,Active,2,,254
68.7695809,69.72160226,Active,3,,255
68.519343,70.13380573,Active,3,,256
68.55812698,70.0940547,Active,2,,257
77.79934168,70.11349794,Active,3,,258
77.98324676,70.2564675,Active,3,,259
68.63977312,70.1569154,Active,2,,260
68.65593707,70.0968263,Active,1,,261
68.29195086,70.18533501,Active,3,,262
68.36530019,69.97223986,General,1,,263
80.9816239,71.24874386,General,2,,264
80.87004351,71.23011133,General,2,,265
81.21479179,71.16705922,General,3,,266
81.21159078,71.16004239,General,2,,267
68.37061046,70.06976295,General,2,,268
68.45417529,70.08204262,General,2,,269
68.45199961,70.08166449,General,2,,270
68.34061376,70.01564218,General,2,,271
80.53276127,71.35190476,General,2,,272
80.51538497,71.27023879,General,2,,273
66.82162155,66.86351412,General,1,,274
68.76878826,69.72156255,General,3,,275
68.78734643,69.72298652,General,3,,276
68.7858675,69.72350218,General,3,,277
78.05631273,70.51548742,General,3,,278
68.52101953,70.12719079,General,1,,279
68.36639789,70.14378951,General,2,,280
67.89099454,70.20886771,General,3,,281
68.88968644,69.68440104,General,3,,282
68.9420009,69.72030673,General,3,,283
68.56267069,70.08914301,General,2,,284
68.14277199,70.1938992,General,3,,285
75.08940013,71.07165028,General,2,,286
75.08722706,71.07264245,General,2,,287
79.24749686,71.18804791,General,2,,288
67.77263157,69.62166313,General,1,,289
77.975399,70.18452941,General,2,,290
77.88423739,70.19924994,General,1,,291
77.88706259,70.19957007,General,1,,292
77.94925191,70.23450203,General,2,,293
68.5929492,69.7457192,General,3,,294
68.60430244,69.74913338,General,1,,295
68.53180203,69.85533503,General,2,,296
68.12900494,70.19496934,General,3,,297
68.47640063,70.06678258,General,3,,298
68.43723425,69.91010082,General,2,,299
70.45421231,71.09141621,General,2,,300
70.44760883,71.09348359,General,2,,301
69.01216625,70.23086006,General,2,,302
68.99048338,70.22744306,General,1,,303
68.44895208,69.62675994,General,1,,304
78.19661159,70.29488334,General,2,,305
68.33463818,69.95437483,General,2,,306
68.41413243,69.63377597,General,1,,307
68.50730393,69.84670683,General,1,,308
79.07751535,71.40556548,General,2,,309
79.09407734,71.41618376,General,2,,310
77.86588961,70.18567768,General,2,,311
77.82594362,70.15846542,General,3,,312
77.81965693,70.158678,General,3,,313
77.95952017,70.23589793,General,2,,314
78.18183276,70.30788782,General,2,,315
77.8411113,70.21924126,General,3,,316
76.34998123,69.73553111,General,3,,317
76.29350072,69.86817258,General,3,,318
70.25491725,69.22439311,General,3,,319
70.24606187,69.22094302,General,3,,320
78.39016606,70.29244161,General,2,,321
79.23049885,71.43784156,General,3,,322
77.95118487,70.24902292,General,2,,323
68.53516209,70.16421546,General,3,,324
68.4204458,70.03619109,General,1,,325
68.41367668,70.00534558,General,3,,326
68.47875377,69.91263013,General,3,,327
68.49217957,69.63339859,General,3,,328
81.22040049,71.16992544,General,2,,329
80.54525413,71.33180917,General,2,,330
68.41769595,69.64720777,General,3,,331
75.08913322,71.07320402,General,2,,332
77.92109084,70.17288864,General,3,,333
77.97724393,70.25506871,General,3,,334
76.11626492,69.77325819,General,3,,335
